geocode,municipio,uf,disease,period,rural,urban,total
130270, Manicoré,13,CL,2004-2008,52,31,83
130280, Maraã,13,CL,2004-2008,5,2,7
130290, Maués,13,CL,2004-2008,71,52,123
130300, Nhamundá,13,CL,2004-2008,26,7,33
130310, Nova Olinda do Norte,13,CL,2004-2008,9,10,19
130320, Novo Airão,13,CL,2004-2008,25,30,55
130330, Novo Aripuanã,13,CL,2004-2008,50,42,92
130340, Parintins,13,CL,2004-2008,32,40,72
130350, Pauini,13,CL,2004-2008,26,10,36
130353, Presidente Figueiredo,13,CL,2004-2008,721,212,933
130356, Rio Preto da Eva,13,CL,2004-2008,1592,195,1787
130360, Santa Isabel do Rio Negro,13,CL,2004-2008,42,27,69
130370, Santo Antônio do Içá,13,CL,2004-2008,9,3,12
130380, São Gabriel da Cachoeira,13,CL,2004-2008,56,40,96
130390, São Paulo de Olivença,13,CL,2004-2008,1,4,5
130395, São Sebastião do Uatumã,13,CL,2004-2008,4,13,17
130400, Silves,13,CL,2004-2008,20,18,38
130406, Tabatinga,13,CL,2004-2008,5,41,46
130410, Tapauá,13,CL,2004-2008,27,18,45
130420, Tefé,13,CL,2004-2008,24,46,70
130423, Tonantins,13,CL,2004-2008,2,0,2
130426, Uarini,13,CL,2004-2008,12,5,17
130430, Urucará,13,CL,2004-2008,11,13,24
130440, Urucurituba,13,CL,2004-2008,1,2,3
140005, Alto Alegre,14,CL,2004-2008,33,14,47
140002, Amajari,14,CL,2004-2008,22,3,25
140010, Boa Vista,14,CL,2004-2008,10,338,348
140015, Bonfim,14,CL,2004-2008,8,8,16
140017, Cantá,14,CL,2004-2008,29,2,31
140020, Caracaraí,14,CL,2004-2008,34,59,93
140023, Caroebe,14,CL,2004-2008,175,60,235
140028, Iracema,14,CL,2004-2008,9,16,25
140030, Mucajaí,14,CL,2004-2008,32,32,64
140040, Normandia,14,CL,2004-2008,1,0,1
140045, Pacaraima,14,CL,2004-2008,33,189,222
140047, Rorainópolis,14,CL,2004-2008,164,82,246
140050, São João da Baliza,14,CL,2004-2008,22,42,64
140060, São Luiz,14,CL,2004-2008,16,21,37
140070, Uiramutã,14,CL,2004-2008,24,0,24
150010, Abaetetuba,15,CL,2004-2008,25,19,44
150013, Abel Figueiredo,15,CL,2004-2008,19,50,69
150020, Acará,15,CL,2004-2008,76,30,106
150030, Afuá,15,CL,2004-2008,17,2,19
150034, Água Azul do Norte,15,CL,2004-2008,48,22,70
150040, Alenquer,15,CL,2004-2008,72,296,368
150050, Almeirim,15,CL,2004-2008,336,148,484
150060, Altamira,15,CL,2004-2008,188,556,744
150070, Anajás,15,CL,2004-2008,20,11,31
150080, Ananindeua,15,CL,2004-2008,1,19,20
150085, Anapu,15,CL,2004-2008,246,121,367
150090, Augusto Corrêa,15,CL,2004-2008,63,8,71
150095, Aurora do Pará,15,CL,2004-2008,45,18,63
150100, Aveiro,15,CL,2004-2008,66,12,78
150110, Bagre,15,CL,2004-2008,90,7,97
150120, Baião,15,CL,2004-2008,129,19,148
150125, Bannach,15,CL,2004-2008,18,2,20
