geocode,municipio,uf,disease,period,zone,cases
140030, Mucajaí,14,Dengue,2004-2008,rural,53
140040, Normandia,14,Dengue,2004-2008,rural,6
140045, Pacaraima,14,Dengue,2004-2008,rural,30
140047, Rorainópolis,14,Dengue,2004-2008,rural,47
140050, São João da Baliza,14,Dengue,2004-2008,rural,1
140070, Uiramutã,14,Dengue,2004-2008,rural,3
150010, Abaetetuba,15,Dengue,2004-2008,rural,170
150013, Abel Figueiredo,15,Dengue,2004-2008,rural,6
150020, Acará,15,Dengue,2004-2008,rural,34
150030, Afuá,15,Dengue,2004-2008,rural,23
150034, Água Azul do Norte,15,Dengue,2004-2008,rural,63
150040, Alenquer,15,Dengue,2004-2008,rural,4
150050, Almeirim,15,Dengue,2004-2008,rural,0
150060, Altamira,15,Dengue,2004-2008,rural,7
150070, Anajás,15,Dengue,2004-2008,rural,0
150080, Ananindeua,15,Dengue,2004-2008,rural,1
150085, Anapu,15,Dengue,2004-2008,rural,7
150090, Augusto Corrêa,15,Dengue,2004-2008,rural,33
150095, Aurora do Pará,15,Dengue,2004-2008,rural,12
150110, Bagre,15,Dengue,2004-2008,rural,1
150120, Baião,15,Dengue,2004-2008,rural,32
150125, Bannach,15,Dengue,2004-2008,rural,35
150130, Barcarena,15,Dengue,2004-2008,rural,55
150140, Belém,15,Dengue,2004-2008,rural,41
150145, Belterra,15,Dengue,2004-2008,rural,38
150150, Benevides,15,Dengue,2004-2008,rural,4
150157, Bom Jesus do Tocantins,15,Dengue,2004-2008,rural,54
150160, Bonito,15,Dengue,2004-2008,rural,0
150170, Bragança,15,Dengue,2004-2008,rural,170
150172, Brasil Novo,15,Dengue,2004-2008,rural,0
150175, Brejo Grande do Araguaia,15,Dengue,2004-2008,rural,38
150178, Breu Branco,15,Dengue,2004-2008,rural,155
150180, Breves,15,Dengue,2004-2008,rural,10
150190, Bujaru,15,Dengue,2004-2008,rural,14
150200, Cachoeira do Arari,15,Dengue,2004-2008,rural,0
150195, Cachoeira do Piriá,15,Dengue,2004-2008,rural,25
150210, Cametá,15,Dengue,2004-2008,rural,124
150215, Canaã dos Carajás,15,Dengue,2004-2008,rural,12
150220, Capanema,15,Dengue,2004-2008,rural,18
150230, Capitão Poço,15,Dengue,2004-2008,rural,21
150240, Castanhal,15,Dengue,2004-2008,rural,38
150250, Chaves,15,Dengue,2004-2008,rural,1
150260, Colares,15,Dengue,2004-2008,rural,22
150270, Conceição do Araguaia,15,Dengue,2004-2008,rural,230
150275, Concórdia do Pará,15,Dengue,2004-2008,rural,7
150276, Cumaru do Norte,15,Dengue,2004-2008,rural,59
150277, Curionópolis,15,Dengue,2004-2008,rural,17
150280, Curralinho,15,Dengue,2004-2008,rural,2
150290, Curuçá,15,Dengue,2004-2008,rural,10
150293, Dom Eliseu,15,Dengue,2004-2008,rural,29
150295, Eldorado do Carajás,15,Dengue,2004-2008,rural,104
150300, Faro,15,Dengue,2004-2008,rural,0
150304, Floresta do Araguaia,15,Dengue,2004-2008,rural,51
150307, Garrafão do Norte,15,Dengue,2004-2008,rural,8
150309, Goianésia do Pará,15,Dengue,2004-2008,rural,71
150310, Gurupá,15,Dengue,2004-2008,rural,6
150320, Igarapé-Açu,15,Dengue,2004-2008,rural,79
150330, Igarapé-Miri,15,Dengue,2004-2008,rural,22
150340, Inhangapi,15,Dengue,2004-2008,rural,16
150345, Ipixuna do Pará,15,Dengue,2004-2008,rural,27
150350, Irituia,15,Dengue,2004-2008,rural,37
150360, Itaituba,15,Dengue,2004-2008,rural,74
150370, Itupiranga,15,Dengue,2004-2008,rural,248
150375, Jacareacanga,15,Dengue,2004-2008,rural,3
150380, Jacundá,15,Dengue,2004-2008,rural,60
150390, Juruti,15,Dengue,2004-2008,rural,17
150400, Limoeiro do Ajuru,15,Dengue,2004-2008,rural,6
150405, Mãe do Rio,15,Dengue,2004-2008,rural,16
150410, Magalhães Barata,15,Dengue,2004-2008,rural,18
150420, Marabá,15,Dengue,2004-2008,rural,285
150430, Maracanã,15,Dengue,2004-2008,rural,46
150440, Marapanim,15,Dengue,2004-2008,rural,28
150442, Marituba,15,Dengue,2004-2008,rural,9
150460, Mocajuba,15,Dengue,2004-2008,rural,1
150470, Moju,15,Dengue,2004-2008,rural,147
150480, Monte Alegre,15,Dengue,2004-2008,rural,13
150490, Muaná,15,Dengue,2004-2008,rural,14
150495, Nova Esperança do Piriá,15,Dengue,2004-2008,rural,8
150497, Nova Ipixuna,15,Dengue,2004-2008,rural,44
150503, Novo Progresso,15,Dengue,2004-2008,rural,37
150506, Novo Repartimento,15,Dengue,2004-2008,rural,43
150510, Óbidos,15,Dengue,2004-2008,rural,3
150520, Oeiras do Pará,15,Dengue,2004-2008,rural,4
150530, Oriximiná,15,Dengue,2004-2008,rural,65
150540, Ourém,15,Dengue,2004-2008,rural,31
150543, Ourilândia do Norte,15,Dengue,2004-2008,rural,45
150548, Pacajá,15,Dengue,2004-2008,rural,93
150549, Palestina do Pará,15,Dengue,2004-2008,rural,29
150550, Paragominas,15,Dengue,2004-2008,rural,11
150553, Parauapebas,15,Dengue,2004-2008,rural,107
150555, Pau D'Arco,15,Dengue,2004-2008,rural,77
150563, Piçarra,15,Dengue,2004-2008,rural,12
150565, Placas,15,Dengue,2004-2008,rural,19
150570, Ponta de Pedras,15,Dengue,2004-2008,rural,3
