geocode,municipio,uf,disease,period,zone,cases
130310, Nova Olinda do Norte,13,CL,2004-2008,rural,9
130320, Novo Airão,13,CL,2004-2008,rural,25
130330, Novo Aripuanã,13,CL,2004-2008,rural,50
130340, Parintins,13,CL,2004-2008,rural,32
130350, Pauini,13,CL,2004-2008,rural,26
130353, Presidente Figueiredo,13,CL,2004-2008,rural,721
130356, Rio Preto da Eva,13,CL,2004-2008,rural,1592
130360, Santa Isabel do Rio Negro,13,CL,2004-2008,rural,42
130370, Santo Antônio do Içá,13,CL,2004-2008,rural,9
130380, São Gabriel da Cachoeira,13,CL,2004-2008,rural,56
130390, São Paulo de Olivença,13,CL,2004-2008,rural,1
130395, São Sebastião do Uatumã,13,CL,2004-2008,rural,4
130400, Silves,13,CL,2004-2008,rural,20
130406, Tabatinga,13,CL,2004-2008,rural,5
130410, Tapauá,13,CL,2004-2008,rural,27
130420, Tefé,13,CL,2004-2008,rural,24
130423, Tonantins,13,CL,2004-2008,rural,2
130426, Uarini,13,CL,2004-2008,rural,12
130430, Urucará,13,CL,2004-2008,rural,11
130440, Urucurituba,13,CL,2004-2008,rural,1
140005, Alto Alegre,14,CL,2004-2008,rural,33
140002, Amajari,14,CL,2004-2008,rural,22
140010, Boa Vista,14,CL,2004-2008,rural,10
140015, Bonfim,14,CL,2004-2008,rural,8
140017, Cantá,14,CL,2004-2008,rural,29
140020, Caracaraí,14,CL,2004-2008,rural,34
140023, Caroebe,14,CL,2004-2008,rural,175
140028, Iracema,14,CL,2004-2008,rural,9
140030, Mucajaí,14,CL,2004-2008,rural,32
140040, Normandia,14,CL,2004-2008,rural,1
140045, Pacaraima,14,CL,2004-2008,rural,33
140047, Rorainópolis,14,CL,2004-2008,rural,164
140050, São João da Baliza,14,CL,2004-2008,rural,22
140060, São Luiz,14,CL,2004-2008,rural,16
140070, Uiramutã,14,CL,2004-2008,rural,24
150010, Abaetetuba,15,CL,2004-2008,rural,25
150013, Abel Figueiredo,15,CL,2004-2008,rural,19
150020, Acará,15,CL,2004-2008,rural,76
150030, Afuá,15,CL,2004-2008,rural,17
150034, Água Azul do Norte,15,CL,2004-2008,rural,48
150040, Alenquer,15,CL,2004-2008,rural,72
150050, Almeirim,15,CL,2004-2008,rural,336
150060, Altamira,15,CL,2004-2008,rural,188
150070, Anajás,15,CL,2004-2008,rural,20
150080, Ananindeua,15,CL,2004-2008,rural,1
150085, Anapu,15,CL,2004-2008,rural,246
150090, Augusto Corrêa,15,CL,2004-2008,rural,63
150095, Aurora do Pará,15,CL,2004-2008,rural,45
150100, Aveiro,15,CL,2004-2008,rural,66
150110, Bagre,15,CL,2004-2008,rural,90
150120, Baião,15,CL,2004-2008,rural,129
150125, Bannach,15,CL,2004-2008,rural,18
150130, Barcarena,15,CL,2004-2008,rural,6
150140, Belém,15,CL,2004-2008,rural,4
150145, Belterra,15,CL,2004-2008,rural,105
150150, Benevides,15,CL,2004-2008,rural,4
150157, Bom Jesus do Tocantins,15,CL,2004-2008,rural,21
150160, Bonito,15,CL,2004-2008,rural,3
150170, Bragança,15,CL,2004-2008,rural,103
150172, Brasil Novo,15,CL,2004-2008,rural,200
150175, Brejo Grande do Araguaia,15,CL,2004-2008,rural,3
150178, Breu Branco,15,CL,2004-2008,rural,130
150180, Breves,15,CL,2004-2008,rural,16
150190, Bujaru,15,CL,2004-2008,rural,1
150200, Cachoeira do Arari,15,CL,2004-2008,rural,5
150195, Cachoeira do Piriá,15,CL,2004-2008,rural,101
150210, Cametá,15,CL,2004-2008,rural,78
150215, Canaã dos Carajás,15,CL,2004-2008,rural,21
150220, Capanema,15,CL,2004-2008,rural,10
150230, Capitão Poço,15,CL,2004-2008,rural,43
150240, Castanhal,15,CL,2004-2008,rural,16
150250, Chaves,15,CL,2004-2008,rural,4
150260, Colares,15,CL,2004-2008,rural,7
150270, Conceição do Araguaia,15,CL,2004-2008,rural,22
150275, Concórdia do Pará,15,CL,2004-2008,rural,11
150276, Cumaru do Norte,15,CL,2004-2008,rural,35
150277, Curionópolis,15,CL,2004-2008,rural,20
150280, Curralinho,15,CL,2004-2008,rural,45
150285, Curuá,15,CL,2004-2008,rural,9
150290, Curuçá,15,CL,2004-2008,rural,1
150293, Dom Eliseu,15,CL,2004-2008,rural,98
150295, Eldorado do Carajás,15,CL,2004-2008,rural,156
150300, Faro,15,CL,2004-2008,rural,9
150304, Floresta do Araguaia,15,CL,2004-2008,rural,28
150307, Garrafão do Norte,15,CL,2004-2008,rural,50
150309, Goianésia do Pará,15,CL,2004-2008,rural,122
150310, Gurupá,15,CL,2004-2008,rural,26
150320, Igarapé-Açu,15,CL,2004-2008,rural,7
150330, Igarapé-Miri,15,CL,2004-2008,rural,30
150340, Inhangapi,15,CL,2004-2008,rural,4
150345, Ipixuna do Pará,15,CL,2004-2008,rural,126
150350, Irituia,15,CL,2004-2008,rural,51
150360, Itaituba,15,CL,2004-2008,rural,150
150370, Itupiranga,15,CL,2004-2008,rural,122
150375, Jacareacanga,15,CL,2004-2008,rural,36
150380, Jacundá,15,CL,2004-2008,rural,7
150390, Juruti,15,CL,2004-2008,rural,89
150400, Limoeiro do Ajuru,15,CL,2004-2008,rural,6
150405, Mãe do Rio,15,CL,2004-2008,rural,13
150420, Marabá,15,CL,2004-2008,rural,327
150430, Maracanã,15,CL,2004-2008,rural,3
150440, Marapanim,15,CL,2004-2008,rural,4
150442, Marituba,15,CL,2004-2008,rural,2
150445, Medicilândia,15,CL,2004-2008,rural,935
150450, Melgaço,15,CL,2004-2008,rural,14
150460, Mocajuba,15,CL,2004-2008,rural,78
150470, Moju,15,CL,2004-2008,rural,334
150480, Monte Alegre,15,CL,2004-2008,rural,441
150490, Muaná,15,CL,2004-2008,rural,12
150495, Nova Esperança do Piriá,15,CL,2004-2008,rural,66
150497, Nova Ipixuna,15,CL,2004-2008,rural,17
150500, Nova Timboteua,15,CL,2004-2008,rural,13
150503, Novo Progresso,15,CL,2004-2008,rural,110
150506, Novo Repartimento,15,CL,2004-2008,rural,412
150510, Óbidos,15,CL,2004-2008,rural,291
150520, Oeiras do Pará,15,CL,2004-2008,rural,91
150530, Oriximiná,15,CL,2004-2008,rural,170
150540, Ourém,15,CL,2004-2008,rural,11
150543, Ourilândia do Norte,15,CL,2004-2008,rural,31
150548, Pacajá,15,CL,2004-2008,rural,310
150549, Palestina do Pará,15,CL,2004-2008,rural,1
150550, Paragominas,15,CL,2004-2008,rural,271
