geocode,municipio,uf,disease,period,zone,cases
140020, Caracaraí,14,chagas,2015-2019,rural,1
150010, Abaetetuba,15,chagas,2015-2019,rural,91
150020, Acará,15,chagas,2015-2019,rural,29
150030, Afuá,15,chagas,2015-2019,rural,17
150034, Água Azul do Norte,15,chagas,2015-2019,rural,1
150040, Alenquer,15,chagas,2015-2019,rural,2
150060, Altamira,15,chagas,2015-2019,rural,0
150070, Anajás,15,chagas,2015-2019,rural,19
150080, Ananindeua,15,chagas,2015-2019,rural,0
150090, Augusto Corrêa,15,chagas,2015-2019,rural,2
150095, Aurora do Pará,15,chagas,2015-2019,rural,2
150110, Bagre,15,chagas,2015-2019,rural,15
150120, Baião,15,chagas,2015-2019,rural,1
150130, Barcarena,15,chagas,2015-2019,rural,51
150140, Belém,15,chagas,2015-2019,rural,5
150150, Benevides,15,chagas,2015-2019,rural,1
150170, Bragança,15,chagas,2015-2019,rural,2
150178, Breu Branco,15,chagas,2015-2019,rural,1
150180, Breves,15,chagas,2015-2019,rural,104
150190, Bujaru,15,chagas,2015-2019,rural,6
150210, Cametá,15,chagas,2015-2019,rural,68
150230, Capitão Poço,15,chagas,2015-2019,rural,1
150240, Castanhal,15,chagas,2015-2019,rural,1
150280, Curralinho,15,chagas,2015-2019,rural,36
150285, Curuá,15,chagas,2015-2019,rural,0
150307, Garrafão do Norte,15,chagas,2015-2019,rural,2
150310, Gurupá,15,chagas,2015-2019,rural,6
150320, Igarapé-Açu,15,chagas,2015-2019,rural,1
150330, Igarapé-Miri,15,chagas,2015-2019,rural,52
150340, Inhangapi,15,chagas,2015-2019,rural,1
150345, Ipixuna do Pará,15,chagas,2015-2019,rural,0
150350, Irituia,15,chagas,2015-2019,rural,2
150375, Jacareacanga,15,chagas,2015-2019,rural,1
150390, Juruti,15,chagas,2015-2019,rural,1
150400, Limoeiro do Ajuru,15,chagas,2015-2019,rural,54
150410, Magalhães Barata,15,chagas,2015-2019,rural,0
150420, Marabá,15,chagas,2015-2019,rural,1
150442, Marituba,15,chagas,2015-2019,rural,0
150450, Melgaço,15,chagas,2015-2019,rural,25
150460, Mocajuba,15,chagas,2015-2019,rural,0
150470, Moju,15,chagas,2015-2019,rural,7
150490, Muaná,15,chagas,2015-2019,rural,46
150506, Novo Repartimento,15,chagas,2015-2019,rural,1
150520, Oeiras do Pará,15,chagas,2015-2019,rural,21
150530, Oriximiná,15,chagas,2015-2019,rural,1
150540, Ourém,15,chagas,2015-2019,rural,0
150548, Pacajá,15,chagas,2015-2019,rural,1
150550, Paragominas,15,chagas,2015-2019,rural,0
150570, Ponta de Pedras,15,chagas,2015-2019,rural,4
150580, Portel,15,chagas,2015-2019,rural,3
150600, Prainha,15,chagas,2015-2019,rural,1
150620, Salinópolis,15,chagas,2015-2019,rural,1
150635, Santa Bárbara do Pará,15,chagas,2015-2019,rural,1
150680, Santarém,15,chagas,2015-2019,rural,23
150700, Santo Antônio do Tauá,15,chagas,2015-2019,rural,0
150720, São Domingos do Capim,15,chagas,2015-2019,rural,22
150760, São Miguel do Guamá,15,chagas,2015-2019,rural,4
150770, São Sebastião da Boa Vista,15,chagas,2015-2019,rural,32
150795, Tailândia,15,chagas,2015-2019,rural,0
150800, Tomé-Açu,15,chagas,2015-2019,rural,1
150803, Tracuateua,15,chagas,2015-2019,rural,1
150810, Tucuruí,15,chagas,2015-2019,rural,0
150830, Viseu,15,chagas,2015-2019,rural,1
160030, Macapá,16,chagas,2015-2019,rural,9
160040, Mazagão,16,chagas,2015-2019,rural,3
160060, Santana,16,chagas,2015-2019,rural,0
160070, Tartarugalzinho,16,chagas,2015-2019,rural,0
